port_name,latitude,longitude,ship_count
Riga,56.9520033661236,24.1136539340975,7828
Gothenburg,57.70073799777,11.9680483386231,6505
New York,40.713197770232,-74.0078266455077,4816
Bordeaux,44.8383676829183,-0.572658592529262,4113
Quebec City,46.8198570676248,-71.200611493121,3549
Sundswall,62.3890780504242,17.3063352870027,3492
Cronstadt,59.9939156370316,29.7714865185547,3422
Christiania,59.9127593309038,10.7460535835705,3247
Danzig,54.3532540815076,18.6510183386231,2986
Rotterdam,51.9209408964375,4.4874063916016,2694
Klaipeda,55.71722,21.12861,2578
Drammen,59.7478785493119,10.1840215950051,2550
Gefle,60.6782700353304,17.1835063783265,2391
Fredrikstad,59.2139821431688,10.9357039213349,2378
Montreal,45.5129959517878,-73.5553766455077,2255
Boston,42.3595726133805,-71.0574266455077,2002
Stettin,53.4252665374726,14.5555758306886,1982
Archangel,64.5412075020308,40.5439866455079,1920
St. John,45.2727437249886,-66.0681749841308,1760
Porsgrund,59.1429922168333,9.65712996826176,1653
Pensacola,30.4172348803734,-87.2103635449219,1594
Soderhamn,61.3020539997905,17.0512700317383,1393
Baltimore,39.2909022702315,-76.6096033227539,1371
Halmstad,56.6722010493411,12.857328338623,1325
Hernosand,62.6335551234768,17.9374935762681,1259
Kotka,60.4671369633067,26.9184724444581,1207
Laurvig,59.0519993698318,10.0222858306885,1197
Christiansand,58.1439137156268,7.99468833862306,1185
Fredrikshald,59.1248045350242,11.3874541693116,1138
New Orleans,29.9530336254134,-90.0763767089845,1122
Miramichi,47.0020037704552,-65.5685833227539,1118
St. Petersburg,59.9339888563424,30.3067266455079,1098
Bayonne,43.49295,-1.47484,1051
Hamburg,53.5381947874472,9.96457836097262,1028
Arendal,58.4701420246829,8.7584524351543,1027
Konigsberg,54.7112317805089,20.4988802856446,975
Bjorneborg,61.4862538765185,21.7956274920657,972
Oscarshamn,57.2700755313257,16.4433368359375,964
Kragero,58.8663222461009,9.39912854232773,936
Skien,59.2091678279277,9.60874112253406,899
Wyborg,60.7132675840768,28.7476258831691,883
Risoer,58.7177754400355,9.21217460846031,780
Philadelphia,39.9521191086056,-75.16218,770
Hudikswall,61.726078358643,17.1114100974464,737
Redon,47.6509129777457,-2.08601583068829,731
Stockholm,59.332961003529,18.0661433544922,723
Hennebont,47.8025739476478,-3.27385166137653,710
Trondheim (Drontheim),63.4418008643108,10.4085794921875,686
Ventspils,57.4,21.5333,683
Liepāja,56.53,20.99,680
Uleaborg,65.0115283017847,25.4736063917974,677
Brevig,59.05544,9.69593,675
Skelleftea,64.7495721160482,20.9557144459604,604
Skutskar,60.6295982909093,17.4141847022097,590
Falkenberg,56.9057503779718,12.4903241693116,583
Mobile,30.7122,-88.0433,565
Halifax,44.6458582609808,-63.5779232910155,557
Helsingfors,60.1711933248246,24.9319799409551,551
Lulea,65.5836989328213,22.151866677246,533
Abo,60.4528020408486,22.2514641693117,521
Lorient,47.75,-3.36,519
Uddevalla,58.3509732601018,11.9325193821388,506
Kalmar,56.6660571924049,16.3637093814175,505
Auray,47.6667153763157,-2.98168918518064,472
Rafso,61.6150044370834,21.4365729153444,468
Rangoon,16.8058031650266,96.1549083703614,464
Narva,59.3746677001451,28.204279206543,434
Ljusne,61.207568379634,17.1270999776843,424
Vannes,47.6581346492864,-2.75984999999963,411
Västervik (Westerwik),57.7578248725028,16.6446077941132,397
Pitea,65.3204766227601,21.4732333544922,387
Tvedestrand,58.6242330252376,8.92772996826176,372
Darien,31.3713087416854,-81.434368552408,358
Holmestrand,59.4798015800324,10.3220370846559,345
Norfolk,36.8507,-76.2859,322
Newport News,36.9667,-76.4167,305
Trieste,45.6582454829909,13.7725183386231,294
