year,origin_port,ship_count,latitude,longitude
1874,Quebec,370,46.8198570676248,-71.200611493121
1874,Riga,326,56.9520033661236,24.1136539340975
1874,Kronstadt,210,59.9939156370316,29.7714865185547
1874,Klaipeda,157,,
1874,Drammen,117,59.7478785493119,10.1840215950051
1874,Christiania,117,59.9127593309038,10.7460535835705
1874,Danzig,116,54.3532540815076,18.6510183386231
1874,GÃ¤vle,109,60.6782700353304,17.1835063783265
1874,Sundswall,109,62.3890780504242,17.3063352870027
1874,Gothenburg,96,57.70073799777,11.9680483386231
1874,St. John,76,45.2727437249886,-66.0681749841308
1874,Soderhamn,75,61.3020539997905,17.0512700317383
1874,Arkhangelsk,74,64.5412075020308,40.5439866455079
1874,Pensacola,66,30.4172348803734,-87.2103635449219
1874,Fredrikstad,55,59.2139821431688,10.9357039213349
1874,Bjorneborg,54,61.4862538765185,21.7956274920657
1874,Jamaica,49,,
1874,Vyborg,47,60.7132675840768,28.7476258831691
1874,Miramichi,46,47.0020037704552,-65.5685833227539
1874,New York,42,40.713197770232,-74.0078266455077
1874,Helsingfors,38,60.1711933248246,24.9319799409551
1874,Porsgrund,37,59.1429922168333,9.65712996826176
1874,Stettin,35,53.4252665374726,14.5555758306886
1874,Stockholm,34,59.332961003529,18.0661433544922
1874,Ventspils,32,,
1874,Rangoon,32,16.8058031650266,96.1549083703614
1874,Richibouctou,26,46.681336746494,-64.8648499999998
1874,Hudikswall,25,61.726078358643,17.1114100974464
1874,Uleaborg,25,65.0115283017847,25.4736063917974
1874,Wyborg,22,60.7132675840768,28.7476258831691
1874,Kotka,22,60.4671369633067,26.9184724444581
1874,Svartvik,22,62.3185609976876,17.3714628824576
1874,Ljusne,22,61.207568379634,17.1270999776843
1874,Trois-RiviÃ¨res,21,,
1874,Liepāja,21,,
1874,Harnosand,20,62.6335551234768,17.9374935762681
1874,Kragero,19,58.8663222461009,9.39912854232773
1874,St. Petersburg,19,59.9339888563424,30.3067266455079
1874,Moss,18,,
1874,Skelleftea,18,64.7495721160482,20.9557144459604
1874,Lulea,18,65.5836989328213,22.151866677246
1874,Nyhamn,18,56.2500370697488,12.5332656269837
1874,Christiansand,17,58.1439137156268,7.99468833862306
1874,Onega,16,63.9004661241536,38.102155343628
1874,Skutskar,16,60.6295982909093,17.4141847022097
1874,Hamburg,14,53.5381947874472,9.96457836097262
1874,Trondheim,14,63.4418008643108,10.4085794921875
1874,Minatitlan,14,,
1874,Arendal,14,58.4701420246829,8.7584524351543
1874,Chatham,14,,
1874,Mem,14,,
1874,Baltimore,13,39.2909022702315,-76.6096033227539
1874,Laurvig,13,59.0519993698318,10.0222858306885
1874,Colombo,13,6.93230763563123,79.8474366772461
1874,Pitea,13,65.3204766227601,21.4732333544922
1874,Bangor,13,,
1874,Skien,12,59.2091678279277,9.60874112253406
1874,Narva,12,59.3746677001451,28.204279206543
1874,Demerara,11,,
1874,Shediac,11,46.2201868321302,-64.5352616613769
1874,Sandarne,11,61.2603765627516,17.1444458306885
1874,Sannesund,10,,
1874,Halifax,10,53.7270200000001,-1.85753999999997
1874,Belize,10,,
1874,[?],10,,
1874,Skonvik,10,62.4688681722605,17.3256154232789
1874,Darien,10,31.3713087416854,-81.434368552408
1874,West Indies,9,,
1874,Falkenberg,9,56.9057503779718,12.4903241693116
1874,St. John's,9,,
1874,Trieste,9,45.6582454829909,13.7725183386231
1874,Istanbul,9,,
1874,Holmsund,9,63.7127808223821,20.3787374920655
1874,Lovisa,9,,
1874,Boston,9,52.9789400000001,-0.0265769999999748
1874,New Orleans,9,29.9530336254134,-90.0763767089845
1874,Harburg,8,,
1874,Fredrikshavn,8,60.5711374961045,27.1893037810559
1874,Norrkoping,8,58.5882426577437,16.1906512890627
1874,Tornea,8,65.8463157942022,24.150113125796
1874,Bremen,8,53.0751069869248,8.80453344224812
1874,Savannah,8,,
1874,Uddevalla,7,58.3509732601018,11.9325193821388
1874,Saguenay,7,48.4293694932189,-71.0538333227537
1874,Philadelphia,7,39.9521191086056,-75.16218
1874,Konigsberg,7,54.7112317805089,20.4988802856446
1874,Cienfuegos,7,,
1874,Montreal,7,45.5129959517878,-73.5553766455077
1874,Husum,7,63.3386922716258,19.1618725396729
1874,W. C. Africa,7,,
1874,Brevig,6,,
1874,Charlottetown,6,46.2366900192779,-63.1283216613769
1874,Bathurst,6,47.6166891460061,-65.6489329153442
1874,Kemi,6,65.7366935700403,24.5665102968958
1874,Soroka,6,,
1874,Oscarshamn,6,57.2700755313257,16.4433368359375
1874,Matane,6,,
1874,Doboy,6,31.3984854217237,-81.3275876955812
1874,Portland,5,43.659190604866,-70.2568747685552
1874,Vefsn,5,,
1874,Holmestrand,5,59.4798015800324,10.3220370846559
1874,Kalix,5,,
1874,Laguna,5,,
1874,Haparanda,5,65.8357337904469,24.1367433544922
1874,Old Calabar,5,,
1874,Burea,5,,
1874,Abo,5,60.4528020408486,22.2514641693117
1874,Kristinestad,5,,
1874,Gallsta,5,,
1874,Vaasa,5,,
1874,Fernandina,5,,
1874,Pugwash,5,,
1874,Umea,5,63.8253913595555,20.2604183386227
1874,Orkedalsoren,5,,
1874,Gaspe,5,,
1874,Honduras,4,,
1874,TÃ¸nsberg,4,59.2659373175255,10.4066114894106
1874,Sydney,4,,
1874,Västervik,4,57.7578248725028,16.6446077941132
1874,Buctouche,4,46.4711903669731,-64.7224916613769
