port_name,ship_count,latitude,longitude,country,alternative_names,notes
Klaipeda,2701,55.71722,21.12861,Lithuania,"Memel, Klaipėda",Major Baltic timber port
Bayonne,1082,43.49295,-1.47484,France,,Southwestern French port near Spanish border
Ventspils,716,57.4,21.5333,Latvia,,Latvian Baltic port on Venta River
Brevig,700,59.05544,9.69593,Norway,Brevik,Telemark county port where fjords meet
Liepāja,687,56.53,20.99,Latvia,,Major Latvian Baltic Sea port
Mobile,566,30.7122,-88.0433,United States,"Mobile, Alabama",Deep-water port in Alabama
Lorient,529,47.75,-3.36,France,,Breton port in northwestern France
Norfolk,325,36.8507,-76.2859,United States,"Norfolk, Virginia",Major Virginia port on Chesapeake Bay
Newport News,299,36.9667,-76.4167,United States,"Newport News, Virginia",Virginia port on Hampton Roads
Moss,275,59.459167,10.700833,Norway,,Norwegian port on Oslofjord
Thisted,200,56.96,8.7,Denmark,,Northwestern Denmark port
Helsingør,166,56.0366,12.613,Denmark,"Elsinore, Helsingor",Strategic port opposite Sweden with Kronborg Castle
Landskrona,144,55.8666,12.8333,Sweden,,Swedish port between Helsingborg and Malmö
Samsø,140,55.8167,10.64,Denmark,"Ballen Harbor, Samso",Main ferry port on Samsø island
Svolvær,138,68.2415,14.5284,Norway,Svolvaer,Arctic port in Lofoten archipelago
Saint-Brieuc,200,48.5136,-2.7684,France,,Breton port in northwestern France
Matane,199,48.85,-67.5333,Canada,"Matane, Quebec",St. Lawrence River timber port
Hommelvik,198,63.41083,10.79424,Norway,,Village port near Trondheim on fjord
Dieppe,191,49.93481,1.0919,France,,Norman port on English Channel
Bay Verte,186,46.0149,-64.103,Canada,"Baie Verte, New Brunswick",Port near Confederation Bridge
Langesund,152,59.0,9.745,Norway,,Telemark port town
Savannah,130,32.084,-81.1,United States,"Savannah, Georgia",Major Southern U.S. port
Pugwash,122,45.8507,-63.66,Canada,"Pugwash, Nova Scotia",Salt shipping port on Northumberland Strait
Demerara,121,6.804,-58.155,Guyana,Georgetown,Port at mouth of Demerara River
Drobak,116,59.663,10.63,Norway,Drøbak,Port on Oslofjord in Akershus
Minatitlan,111,17.979,-94.549,Mexico,"Minatitlán, Veracruz",River port in Gulf of Mexico
St. Nazaire,109,47.273,-2.214,France,Saint-Nazaire,Major French Atlantic port
Lovisa,105,60.458,26.228,Finland,Loviisa,Finnish port 60nm east of Helsinki
La Rochelle,90,46.156,-1.151,France,,Historic French Atlantic port
Calcutta,93,22.573,88.364,India,"Kolkata, Calcutta",India's oldest operating port on Hooghly River
Ostend,83,51.226,2.906,Belgium,"Oostende, Flushing",Belgian North Sea port
Singapore,80,1.264,103.823,Singapore,,One of world's busiest ports
Muros,79,42.7744,-9.0575,Spain,,Galician fishing and harbour town
Paimpol,78,48.7798,-3.049,France,,Breton port in Côtes-d'Armor
Pernau,78,58.386,24.497,Estonia,"Pärnu, Pernau",Estonian Baltic Sea port
Charleston,71,32.781,-79.924,United States,"Charleston, South Carolina",Historic Southern port
Constantinople,58,41.014,28.98,Turkey,"Istanbul, Byzantium",Historic port at Bosphorus Strait
Sheet Harbour,58,44.901,-62.507,Canada,"Sheet Harbour, Nova Scotia",Nova Scotia port 53mi from Europe route
Colon,57,9.375,-79.887,Panama,,Port at Caribbean entrance to Panama Canal
Brunswick,65,31.133,-81.583,United States,"Brunswick, Georgia",Major auto port
Flushing,62,51.45,3.6,Netherlands,"Vlissingen, Flushing",Dutch port on Westerschelde
Rugenwalde,61,54.421,16.411,Poland,"Darłowo, Rügenwalde",Baltic Sea port with Hanseatic history
Sydney,84,46.135,-60.183,Canada,"Sydney, Nova Scotia",Cape Breton deep-water port
Metis,68,48.67,-68.0,Canada,"Métis-sur-Mer, Quebec",St. Lawrence River port
Jacksonville,52,30.375,-81.559,United States,"Jacksonville, Florida",Major Florida port on St. Johns River
Soroka,160,64.523,34.767,Russia,"Belomorsk, Karelia",White Sea port formerly known as Soroka
Belize,155,17.505,-88.196,Belize,Belize City,Principal Central American port
Jamaica,159,17.997,-76.794,Jamaica,Kingston,Caribbean capital and major port
Genoa,53,44.403,8.917,Italy,"Genova, Genoa",Major Mediterranean port in Liguria
Bahia,51,-12.955,-38.505,Brazil,"Salvador, Bahia",Historic Brazilian Atlantic port (Note: South latitude)
Rivadeo,52,43.534,-7.04,Spain,"Ribadeo, Galicia",Northern Spanish port in Lugo province
Attu,53,60.178,22.336,Finland,"Attu Island, Pargas",Southwestern Finland island port
Kem,54,64.955,34.579,Russia,"Kem, Karelia",White Sea port gateway to Solovetsky
Pataholm,51,56.55,16.25,Sweden,,Small Swedish east coast port
Tampico,57,22.24,-97.86,Mexico,"Tampico, Tamaulipas",Major Gulf of Mexico port
Lappvik,41,59.903,23.242,Finland,"Lappohja, Hanko",Port in Hanko municipality
Xiania,40,35.516,24.018,Greece,"Chania, Crete",Historic Cretan port
Flekkefjord,48,58.286,6.664,Norway,,Southwestern Norwegian port
Egersund,45,58.4497,6.0087,Norway,,Rogaland county port
Molde,55,62.733,7.167,Norway,,Rose city port on Romsdalsfjord
Kristiansund,48,63.111,7.728,Norway,,Major fishing and oil service port
Bodo,52,67.28,14.405,Norway,Bodø,Northern Norway port above Arctic Circle
Hammerfest,38,70.667,23.711,Norway,,World's northernmost city port
Vardo,32,70.383,31.007,Norway,Vardø,Easternmost Norwegian port on Barents Sea
Vadso,28,70.085,29.739,Norway,Vadsø,Arctic port in Finnmark
Haugesund,60,59.414,5.268,Norway,,Western Norwegian fishing port
Bergen,120,60.388,5.307,Norway,,Norway's second city and historic Hanseatic port
Alesund,65,62.472,6.149,Norway,Ålesund,Art Nouveau port city
Marstrand,35,57.891,11.576,Sweden,,Historic island port and fortress
Solvesborg,42,56.051,14.591,Sweden,Sölvesborg,Southern Swedish Baltic port
