port_name,ship_count,latitude,longitude,country,alternative_names,notes
Klaipeda,2701,55.71722,21.12861,Lithuania,"Memel, Klaipėda",Major Baltic timber port
Halden,1186,59.1318,11.3872,Norway,,Norwegian port near Swedish border
Bayonne,1082,43.49295,-1.47484,France,,Southwestern French port near Spanish border
Ventspils,716,57.4000,21.5333,Latvia,,Latvian Baltic port on Venta River
Brevig,700,59.0642,9.6961,Norway,Brevik,Telemark county port where fjords meet
Liepāja,687,56.53,20.99,Latvia,,Major Latvian Baltic Sea port
Mobile,566,30.7122,-88.0433,United States,"Mobile, Alabama",Deep-water port in Alabama
Lorient,529,47.75,-3.36,France,,Breton port in northwestern France
Norfolk,325,36.8507,-76.2859,United States,"Norfolk, Virginia",Major Virginia port on Chesapeake Bay
Newport News,299,36.9667,-76.4167,United States,"Newport News, Virginia",Virginia port on Hampton Roads
Moss,275,59.3756,10.6540,Norway,,Norwegian port on Oslofjord
Rijeka,249,45.3271,14.4422,Croatia,"Fiume (Italian), Reka (Slovene)",Largest Croatian port on Adriatic
Thisted,200,56.96,8.70,Denmark,,Northwestern Denmark port
Drammen,192,59.74389,10.20449,Norway,,Major Norwegian port near Oslo
Sandefjord,184,59.12,10.23,Norway,,Southern Norwegian coastal port
Uddevalla,171,58.3500,11.9333,Sweden,,West coast Swedish port on Skagerrak
Helsingør,166,56.0366,12.6130,Denmark,"Elsinore, Helsingor",Strategic port opposite Sweden with Kronborg Castle
Hudiksvall,160,61.7333,17.1333,Sweden,,Swedish port on Gulf of Bothnia
Landskrona,144,55.8666,12.8333,Sweden,,Swedish port between Helsingborg and Malmö
Samsø,140,55.8167,10.64,Denmark,"Ballen Harbor, Samso",Main ferry port on Samsø island
Svolvær,138,68.2415,14.5284,Norway,"Svolvaer",Arctic port in Lofoten archipelago
Saint-Brieuc,200,48.51360,-2.76840,France,,Breton port in northwestern France
Vilagarcía de Arousa,200,42.59631,-8.76426,Spain,,Galician port on Ría de Arousa
Matane,199,48.85,-67.5333,Canada,"Matane, Quebec",St. Lawrence River timber port
Hommelvik,198,63.41083,10.79424,Norway,,Village port near Trondheim on fjord
Dieppe,191,49.93481,1.0919,France,,Norman port on English Channel
St. John (N.B.),1244,45.254,-66.032,Canada,"Saint John, New Brunswick",Major timber port - Canada's oldest incorporated city
Krageroe,558,58.8693,9.4149,Norway,Kragerø,Telemark county port on Skagerrak coast
Fredrikstadt,386,59.2181,10.9298,Norway,Fredrikstad,Norwegian port near Oslo in Østfold county
Bergqvara,237,56.3833,16.0833,Sweden,Bergkvara,Swedish port south of Kalmar
Neder Kalix,219,65.855,23.144,Sweden,Nederkalix (Lower Kalix),Northern Swedish port in Norrbotten County
Halifax (N.S.),187,44.651,-63.583,Canada,"Halifax, Nova Scotia",Major Atlantic port and naval base
Bay Verte,186,46.0149,-64.103,Canada,"Baie Verte, New Brunswick",Port near Confederation Bridge
Langesund,152,59.00,9.745,Norway,,Telemark port town
Savannah,130,32.084,-81.100,United States,"Savannah, Georgia",Major Southern U.S. port
Chatham (N.B.),124,47.017,-65.0,Canada,"Chatham, New Brunswick",Now part of Miramichi
Pugwash,122,45.8507,-63.660,Canada,"Pugwash, Nova Scotia",Salt shipping port on Northumberland Strait
Demerara,121,6.804,-58.155,Guyana,Georgetown,Port at mouth of Demerara River
Drobak,116,59.663,10.630,Norway,Drøbak,Port on Oslofjord in Akershus
Minatitlan,111,17.979,-94.549,Mexico,"Minatitlán, Veracruz",River port in Gulf of Mexico
St. Nazaire,109,47.273,-2.214,France,Saint-Nazaire,Major French Atlantic port
Lovisa,105,60.458,26.228,Finland,Loviisa,Finnish port 60nm east of Helsinki
La Rochelle,90,46.156,-1.151,France,,Historic French Atlantic port
Calcutta,93,22.573,88.364,India,"Kolkata, Calcutta",India's oldest operating port on Hooghly River
Ostend,83,51.226,2.906,Belgium,"Oostende, Flushing",Belgian North Sea port
Singapore,80,1.264,103.823,Singapore,,One of world's busiest ports
Muros,79,42.7744,-9.0575,Spain,,Galician fishing and harbour town
Paimpol,78,48.7798,-3.049,France,,Breton port in Côtes-d'Armor
Pernau,78,58.386,24.497,Estonia,"Pärnu, Pernau",Estonian Baltic Sea port
Grimstad,77,58.3405,8.594,Norway,,Southern Norwegian coastal town
Jacobstad,71,63.674,22.697,Finland,"Pietarsaari, Jakobstad",Finnish west coast port on Gulf of Bothnia
Charleston,71,32.781,-79.924,United States,"Charleston, South Carolina",Historic Southern port
Constantinople,58,41.014,28.980,Turkey,"Istanbul, Byzantium",Historic port at Bosphorus Strait
Bathurst (N.B.),58,47.617,-65.699,Canada,"Bathurst, New Brunswick",Northern New Brunswick port
