commodity,year,num_ships,num_cargo_items,top_origin,top_destination
elm,1881,40,41,Quebec,Greenock
elm,1883,56,58,Quebec,Greenock
elm,1885,57,58,Quebec,London
elm,1887,24,24,Quebec,Liverpool
elm,1889,43,43,Quebec,Liverpool
elm,1891,16,16,Quebec,Liverpool
elm,1892,1,1,Antwerp,Grimsby
elm,1893,11,11,Quebec,Tyne
elm,1895,8,8,Quebec,Liverpool
elm,1897,2,3,Boston,Newport
elm,1899,3,3,Quebec,Greenock
elm and,1889,2,2,Quebec,Liverpool
elm hewn,1881,11,11,Quebec,Newport
elm hewn,1882,1,1,Quebec,Lynn
elm hewn,1893,2,2,Quebec,Bristol
elm logs,1893,1,1,Quebec,
elm logs,1895,1,1,Quebec,London
elm lumber,1883,1,1,New York,Liverpool
elm shooks,1893,1,1,Baltimore,Poole
elm staves,1883,1,1,Moulmein,Liverpool
elm staves,1887,10,10,New York,Liverpool
elm staves,1889,1,1,New York,Liverpool
elm staves,1899,1,1,Montreal,Bristol
elm timber,1875,1,1,Quebec,Bristol
elm timber,1877,1,1,Quebec,Dundee
elm timber,1887,4,4,Quebec,Tyne
elm timber,1891,2,2,Quebec,Bristol
elm timber,1893,3,3,Quebec,Greenock
empty,1881,2,2,Le Havre,Liverpool
ends,1874,47,49,Quebec,Liverpool
ends,1875,80,102,Quebec,NEW YORK
ends,1877,167,186,Quebec,Dundee
ends,1878,1,1,Pugwash,
ends,1880,3,3,St. John,Liverpool
ends,1881,92,92,St. John,Liverpool
ends,1883,110,110,Quebec,Liverpool
ends,1884,2,2,St. John,Liverpool
ends,1885,100,101,Quebec,London
ends,1886,2,2,St. John,Liverpool
ends,1887,80,82,Quebec,London
ends,1888,1,1,St. John,Liverpool
ends,1889,81,82,Quebec,Liverpool
ends,1890,1,1,Riga,London
ends,1891,27,27,Riga,London
ends,1892,2,2,Riga,London
ends,1893,37,37,Montreal,Liverpool
ends,1895,13,13,St. John,Liverpool
ends,1897,1,1,St. John,Borrowstounness
ends,1898,1,1,Riga,Grimsby
ends,1899,6,6,Montreal,Dundee
ends and edgings,1887,1,1,Borga,London
ends beechwood,1887,1,1,Rotterdam,London
esk,1889,1,1,Bordeaux,Liverpool
ex pipe,1885,2,2,New Orleans,Liverpool
ex ppe,1886,1,1,New Orleans,Liverpool
ex ppe,1887,1,1,New Orleans,Liverpool
extra,1883,1,1,New Orleans,Liverpool
extra,1884,2,2,New Orleans,Liverpool
extra,1885,3,3,New Orleans,Tyne
extra,1887,1,1,New Orleans,Liverpool
extra,1889,1,1,New Orleans,Liverpool
fagots,1891,1,1,Pascagoula,London
fall,1897,1,1,Rangoon,Liverpool
fan,1891,1,1,Bullriver,London (Tilbury Docks)
fan-tails,1875,2,2,Belize,London
fancy,1874,1,1,Baltimore,Liverpool
fancy wood,1874,1,1,Bremen,London
fans,1887,1,1,Belize,London (Tilbury Docks)
fans,1891,1,1,Belize,London (Tilbury Docks)
fans,1892,1,1,Belize,London (Tilbury Docks)
fans,1893,4,4,Belize,London (Tilbury Docks)
fantails,1874,1,1,Belize,Liverpool
fantails,1875,2,2,Belize,Bristol
fantails,1877,5,5,Belize,Liverpool
fantails,1881,8,8,Belize,London
fantails,1883,4,5,Belize,London
fantails,1893,2,2,Trujillo,London
fathom,1877,2,2,Nyvik,Dundee
fathom,1891,2,2,Stockholm,Lynn
feet,1877,5,6,Quebec,Dundee
feet fir staves,1875,1,1,Gothenburg,Greenock
felloes,1885,1,1,New York,Liverpool
felloes,1891,1,1,New York,Liverpool
felloes,1897,1,1,New York,Liverpool
fencing,1887,1,1,Riga,Dublin
fencing,1897,1,1,Christiania,Grimsby
fencing,1898,1,1,Gothenburg,Grimsby
fencings,1895,1,1,Gothenburg,London
fencings,1899,1,1,Gothenburg,BULL DOCK
fi battens,1889,1,1,Bjorneborg,
fir,1874,7,7,Danzig,London
fir,1875,29,32,Danzig,Bristol
fir,1877,39,42,Quebec,Dundee
fir,1881,277,284,Gothenburg,Borrowstounness
fir,1883,98,102,Danzig,Grimsby
fir,1884,2,2,Klaipeda,London
fir,1885,129,134,Danzig,Grimsby
fir,1886,1,1,Jordan River,Newport
fir,1887,146,154,Riga,Grimsby
fir,1888,3,3,San Francisco,Bristol
fir,1889,387,424,Riga,Grimsby
fir,1890,6,7,Gothenburg,Grimsby
fir,1891,402,472,Gothenburg,Grimsby
fir,1892,20,26,Gothenburg,Newport
fir,1893,145,164,Gothenburg,Grimsby
fir,1895,12,13,Ventspils,Hull (Queen's Dock)
fir,1897,4,4,Langesund,Grimsby
fir,1899,9,9,Baltimore,Poole
fir and,1885,1,1,Dalhousie,Liverpool
fir and,1891,2,2,Richibouctou,Liverpool
fir and ends,1893,2,2,Narva,BRUNSWICK DOCK
fir and fir ends,1891,1,1,Danzig,London (Tilbury Docks)
fir balks,1881,1,1,Danzig,Lynn
fir batten ends,1893,1,1,Riga,Goole
fir batten ends,1899,1,1,Riga,
fir battens,1881,1,1,Drammen,Poole
fir battens,1889,3,3,Abo,Poole
fir battens,1890,1,1,St. John,Cork
fir battens,1891,3,3,Fredrikstad,Poole
fir battens,1893,74,75,Riga,Dundee
fir battens,1899,3,3,Namso,Inverness
fir battens and boards,1893,6,6,Halden,Poole
fir battens and deals,1893,7,7,Kronstadt,Greenock
fir battens and deals,1899,1,1,Fredrikstad,Liverpool
fir battens and ends,1893,2,2,Quebec,Cork
fir battens and rds,1893,1,1,Sandvik,Newport
fir batters,1893,1,1,Sandefjord,
fir baulks and boards,1899,1,1,Drammen,PRINCE'S DOCK
fir beams,1899,1,1,Dunkerque,Poole
fir blocks,1893,1,1,Savernaes,Grimsby
fir blocks,1895,6,6,Danzig,Grimsby
fir board,1885,1,1,Lillesand,Grimsby
fir boards,1875,1,2,Gothenburg,Bristol
fir boards,1881,2,2,Drammen,Lynn
fir boards,1885,2,2,Sundswall,Grimsby
fir boards,1889,1,1,Grimstad,Newport
fir boards,1891,2,2,Djupvik,Poole
fir boards,1893,32,32,Halden,Poole
fir boards,1895,6,6,Fredrikstad,RUNCORN DOCK
fir boards,1899,9,9,Fredrikstad,Poole
fir boards and battens,1893,2,2,Uleaborg,Hull (Union Dock)
fir boards and deals,1893,1,1,Ronneby,Grimsby
fir boards and scantlings,1891,1,1,Abo,London
fir crooks,1895,1,1,Brevig,Lerwick
fir crossing blocks,1883,1,1,Danzig,Grimsby
fir crossing timber,1891,1,1,Danzig,Grimsby
fir crossing timber,1893,1,1,Danzig,Grimsby
fir crossings,1893,4,4,Danzig,Boston
fir crossings,1899,1,1,Danzig,Liverpool
fir crowntrees,1891,1,1,Kragerce,Goole
fir deal ends,1891,1,1,Riga,
fir deal ends,1893,3,3,Riga,Grimsby
fir deals,1875,1,1,Porsgrund,Liverpool
fir deals,1877,1,1,Klaipeda,Dundee
fir deals,1881,3,3,Drammen,Newry
fir deals,1883,1,1,Trondheim,London
fir deals,1889,5,5,Quebec,Cork
fir deals,1891,5,5,Mobile,Newport
fir deals,1893,219,219,Riga,Grimsby
fir deals,1895,5,5,Bjorneborg,Fowey
fir deals,1899,6,6,Drammen,Bristol
fir deals & ends,1893,1,1,Miramichi,Fleetwood
fir deals and balks,1893,1,1,Klaipeda,Poole
fir deals and bat,1893,3,3,Kronstadt,Greenock
fir deals and battens,1889,2,2,Luguvik,Grimsby
fir deals and battens,1893,81,81,Kronstadt,Grimsby
fir deals and battens,1899,3,3,St. Petersburg,Irvine
fir deals and boards,1893,27,27,Gothenburg,Poole
fir deals and boards,1899,1,1,St. John,London
fir deals and ends,1893,31,31,Shediac,Poole
fir deals and fir props,1893,1,1,Bergkvara,Grimsby
fir deals and lat,1893,1,1,Tunadal,
fir deals and lings,1893,1,1,Shediac,Poole
fir deals and logs,1899,1,1,Uleaborg,Bristol
fir deals and ns,1893,1,1,Domsjo,Poole
fir deals and squares,1893,1,1,Bjorneborg,N
fir deals battens,1893,1,1,Ystad,Newport
fir dressed,1881,1,1,Christiania,Tyne
fir dressed oars,1891,1,1,Brevig,Goole
fir dunnage boards,1881,1,1,Baltimore,Newry
fir dunnage wood,1885,1,1,San Francisco,Liverpool
fir ends,1875,1,1,Fredrikstad,London
fir ends,1881,1,1,Klaipeda,Grimsby
fir ends,1882,1,1,Danzig,Newport
fir ends,1889,2,2,Rochefort,Grimsby
fir ends,1893,5,5,Halden,Bristol
fir ends,1899,1,1,Helsingfors,Liverpool
fir ends and battens,1893,1,1,St. John,Bristol
fir ends and scantlings,1893,3,3,Shediac,Poole
fir firewood,1889,1,1,Klintsham,London
fir firewood,1891,2,2,Riga,Goole
fir firewood,1893,11,11,Wanevik,Poole
fir flooring,1893,1,1,Fredrikstad,Poole
fir flooring boards,1893,5,5,Drammen,Milford
fir half,1893,1,1,Riga,Wexford
fir half sleepers,1875,1,1,Danzig,Bristol
fir half timber,1881,1,1,Gdańsk,Runcorn
fir head,1885,1,1,Klaipeda,Stockton
fir heading,1881,1,1,Klaipeda,Tyne
fir hewn,1877,4,4,TimrÃ¥,Dundee
fir hewn,1881,251,253,Bordeaux,Newport
fir hewn,1882,5,5,Riga,Newport
fir hewn,1885,1,1,Vannes,Bristol
fir hewn,1889,7,7,Pensacola,Grimsby
fir hewn,1893,31,31,Brevig,Grimsby
fir hewn,1899,4,4,Langesund,Poole
fir hewn pit props,1893,1,1,Bremerhaven,KEN
fir hewn props,1893,2,2,Arendal,Boston
fir hewn spars,1893,1,1,Riga,Wick
fir hop,1885,1,1,Carlscrona,Bristol
fir hop poles,1885,1,1,Caderona,Dover
fir lath,1893,2,2,Pitea,Bristol
fir laths,1889,1,1,Gothenburg,Truro
fir laths,1891,1,1,Gothenburg,Grimsby
fir laths,1893,10,10,Gothenburg,Boston
fir laths,1899,1,1,Fredrikstad,Liverpool
fir lathwood,1885,1,1,Dalhousie,Liverpool
fir lathwood,1889,2,2,Kronstadt,Dundee
fir lathwood,1891,2,2,Klaipeda,Newport
fir lathwood,1893,14,14,Riga,Newport
fir lathwood sawn,1893,1,1,Riga,Newport
fir lattens,1893,1,1,Örnsköldsvik,
fir logs,1887,1,1,Riga,Wexford
fir logs,1893,2,2,Uleaborg,Greenock
fir lumber,1887,1,1,Danzig,London
fir lumber,1889,1,1,Stettin,Liverpool
fir mining poles and pit,1885,1,1,Risoer,Bristol
fir mining props,1893,1,1,Porsgrund,Bristol
fir mining props,1899,1,1,Porsgrund,Bristol
fir mining timber,1885,1,1,Grimstad,Boston
fir mining timber,1891,3,3,Arendal,Goole
fir mining timber,1892,1,1,Kragero,Bristol
fir mining timber,1893,6,6,Porsgrund,INTER TOPS
fir mining timber,1895,2,2,Arendal,Liverpool
fir mining timber and props,1899,1,1,Porsgrund,Liverpool
fir mouldings,1887,1,1,Gothenburg,London (Silvertown)
fir mouldings,1893,2,2,Halden,Newport
fir oars dressed,1893,1,1,Brevig,Grimsby
fir pit,1885,1,1,Bordeaux,Bristol
fir pit,1893,6,6,La Tremblade,Newport
fir pit props,1883,1,1,Kalmar,Grimsby
fir pit props,1891,1,1,Brevig,Inverness
fir pit props,1893,58,58,Gothenburg,Stockton
fir pit props,1897,6,6,Redon,London
fir pit props,1899,5,5,Bordeaux,Poole
fir pitprop and firewood,1893,1,1,Kragero,SUPPLEMENT
fir pitprops,1893,2,2,Hennebont,Newport
fir pitprops,1899,3,3,Laurvig,Lynn
fir pitprops and mining timber,1899,1,1,Sandefjord,Lynn
fir pitwood,1881,1,1,Bordeaux,Bristol
fir pitwood,1885,16,16,Bordeaux,Bristol
fir pitwood,1887,5,5,Quimper,Poole
fir pitwood,1891,3,3,Bordeaux,Bristol
fir pitwood,1893,139,139,Bordeaux,Bristol
fir pitwood,1897,5,5,La Tremblade,Newport
fir pitwood,1899,1,1,Bordeaux,London (Tilbury Docks)
fir pitwood hewn,1899,1,1,Bordeaux,London
fir planed,1881,1,1,Fredrikstad,Bristol
fir planed,1883,2,2,Hamburg,Lynn
fir planed,1893,1,1,Fredrikstad,Milford
fir planks,1893,2,2,Baltimore,Tyne
fir planks,1895,1,1,Liepāja,Grimsby
fir poles,1877,1,1,Hudikswall,
fir poles,1891,1,1,Brevig,Grimsby
fir poles,1893,14,14,Skien,Grimsby
fir poles,1895,1,1,Sundswall,Poole
fir poles,1899,1,1,Christiania,London
fir poles and props,1893,1,1,Christiania,Bristol
fir poles and spars,1893,1,1,Christiania,Bristol
fir posts,1893,1,1,Gothenburg,Grimsby
fir props,1877,2,2,Christiansand,
fir props,1883,3,3,Arendal,Tyne
fir props,1887,1,1,Tvedestrand,Poole
fir props,1889,1,1,Gothenburg,Newport
fir props,1891,4,4,Tyedestrand,Grimsby
fir props,1893,172,174,Gothenburg,Grimsby
fir props,1897,4,4,Gothenburg,Newport
fir props,1899,1,1,Gothenburg,Lynn
fir props and partly square timber,1893,1,1,Skien,Grimsby
fir pulp,1893,1,1,Gothenburg,London
fir pulp wood,1893,1,1,Sarpsborg,
fir pulpwood,1893,1,1,Sannesund,Grimsby
fir rails,1893,4,4,Gothenburg,Grimsby
fir railway sleepers,1893,1,1,Stettin,Boston
fir railway sleepers,1895,1,1,Gothenburg,Grimsby
fir redwood half,1893,1,1,Danzig,Liverpool
fir rickers,1885,1,1,Oronstadt,Grimsby
fir rickers,1893,6,6,Kronstadt,Dundee
fir saw,1893,1,1,"St. John, N B.",Dublin
fir sawn,1877,2,2,Ranea,Dundee
fir sawn,1881,191,193,Sundswall,Newport
fir sawn,1882,5,5,Klaipeda,Newport
fir sawn,1889,1,2,Richibouctou,PURFLEET
fir sawn,1893,39,39,Sundswall,Grimsby
fir sawn deal ends,1893,1,1,Riga,Grimsby
fir sawn deals,1893,3,3,Uleaborg,Grimsby
fir sawn deals,1897,1,1,Liepāja,Greenock
fir sawn deals and boards,1893,1,1,Riga,Grimsby
fir sawn firewood,1893,1,1,Kronstadt,Grimsby
fir sawn props,1893,1,1,Arendal,Boston
fir sawn staves,1893,1,1,Trondheim,Irvine
fir scantling and boards,1893,1,1,Drammen,Bristol
fir scantlings,1893,1,1,Halden,Limerick
fir skirtings,1893,1,1,Gothenburg,Grimsby
fir slabs,1887,1,1,Christiansand,Grimsby
fir slabs,1891,1,1,Tvedestrand,Grimsby
fir slabs,1897,1,1,Tvedestrand,Grimsby
fir slate battens,1893,1,1,Gothenburg,Stockton
fir sleeper blocks,1893,7,7,Riga,Grimsby
fir sleeper logs,1875,1,1,Danzig,Bristol
fir sleepers,1874,1,1,Danzig,Bristol
fir sleepers,1875,7,8,Danzig,Bristol
fir sleepers,1877,1,1,Fredrikstad,
fir sleepers,1888,1,1,Gothenburg,Grimsby
fir sleepers,1889,4,4,Danzig,Grimsby
fir sleepers,1893,33,33,Riga,Grimsby
fir sleepers,1895,1,1,Konigsberg,Grimsby
fir sleepers and blocks,1893,1,1,Riga,Bristol
fir sleepers and half sleepers,1875,1,1,Danzig,Bristol
fir spars,1881,1,1,Fredrikstad,Newry
fir spars,1883,2,2,Ventspils,Inverness
fir spars,1891,2,2,Brevig,Grimsby
fir spars,1893,15,15,Riga,Grimsby
fir spars,1895,2,2,Skien,PROCEEDINGS UNDER CESSIO
fir spars,1899,1,1,Riga,NEWPORT (MON)
fir split laths,1893,2,2,Ostende,Newport
fir splits,1885,1,1,Gothenburg,Tyne
fir splits,1893,1,1,Gothenburg,Poole
fir square sleepers,1875,1,1,Danzig,Bristol
fir sswn,1881,1,1,Sundswall,Wexford
fir staves,1875,1,1,Holmestrand,Liverpool
fir staves,1877,5,5,Karlshamn,Greenock
fir staves,1881,3,3,Christiansand,Lerwick
fir staves,1887,2,2,Laurvig,Limerick
fir staves,1889,4,4,Pyterlaks,Poole
fir staves,1891,4,4,Gothenburg,Grimsby
fir staves,1893,40,40,Kotka,Poole
fir staves,1895,11,11,Kotka,Fowey
fir staves,1899,4,4,Kotka,Liverpool
fir staves and,1899,1,1,Gothenburg,Dundee
fir staves and battens,1895,1,1,Lovisa,Fowey
fir telegraph poles,1893,1,1,Skien,Greenock
fir tens and boards,1893,1,1,Fredrikstad,Grimsby
fir tim,1880,1,1,Baltimore,Fowey
fir tim,1885,1,1,Klaipeda,Bristol
fir timber,1874,7,7,Danzig,Bristol
fir timber,1875,31,32,Danzig,Bristol
fir timber,1877,37,39,Danzig,Dundee
fir timber,1881,9,9,Danzig,Liverpool
fir timber,1882,1,1,Danzig,London
fir timber,1885,6,6,Stettin,Grimsby
fir timber,1887,12,12,Danzig,Grimsby
fir timber,1888,1,1,Stettin,Dundee
fir timber,1889,22,22,Stettin,Grimsby
fir timber,1891,14,14,Riga,Grimsby
fir timber,1892,2,2,Stettin,Liverpool
fir timber,1893,11,11,Stettin,Grimsby
fir timber,1895,2,2,Arendal,Bristol
fir timber,1899,1,1,Danzig,Grimsby
fir timber and,1877,1,1,Pitea,Dundee
fir timber ends,1877,1,1,Klaipeda,
fir timber hewn,1877,2,3,Savannah,Borrowstounness
fir timber hewn,1881,1,1,Nantes,SUTTON BRIDGE
fir timber hewn,1893,2,2,St. John,Wexford
fir timber sawn,1881,1,1,Laurvig,SUTTON BRIDGE
fir timber sawn,1889,1,1,"Oak Bay, N.B.",Poole
fir timber sawn,1893,4,4,St. John,Cork
fir whitewood timber,1875,1,1,Ornskolksvik,
fir wood,1883,1,1,Arkhangelsk,Newport
fir wood,1887,1,1,Nyland,Grimsby
fire,1881,1,1,Arkhangelsk,Inverness
fire,1885,2,2,Sundswall,London
fire,1887,4,4,Hudikswall,London
fire,1891,2,2,Sundswall,Grimsby
fire,1893,2,2,Nederkalix,Poole
fire,1899,1,1,Fredrikstad,London
fire wood,1885,1,1,Fredrikstad,London
fire wood,1887,1,1,Sundswall,Grimsby
fire wood,1889,2,2,GÃ¤vle,Poole
fire wood,1891,1,1,Kronstadt,Dundee
fire-deals,1874,1,1,Pensacola,London
fire-wood,1874,1,1,Le Havre,London
fire-wood,1875,1,1,Harnosand,Greenock
firewd,1879,2,2,Pernaw,Dundee
firewd,1881,1,1,Laurvig,London
firewod,1891,1,1,Kemi,Poole
firewood,1874,52,54,Kronstadt,London
firewood,1875,105,118,Drammen,London
firewood,1877,23,23,Klaipeda,Dundee
firewood,1878,1,1,Pensacola,
firewood,1879,142,142,Sundswall,London
firewood,1880,1,1,Holmestrand,Lynn
firewood,1881,398,399,Sundswall,London
firewood,1882,2,2,Sundswall,Lynn
firewood,1883,467,468,Sundswall,London
firewood,1884,9,9,Riga,London
firewood,1885,453,453,Sundswall,London
firewood,1886,3,3,Riga,London
firewood,1887,561,561,Sundswall,London
firewood,1888,9,9,Riga,Grimsby
firewood,1889,632,634,Sundswall,London
firewood,1890,5,5,Riga,Grimsby
firewood,1891,335,335,Sundswall,London
firewood,1892,15,15,Gothenburg,Newport
firewood,1893,282,282,Sundswall,London
firewood,1895,230,231,Sundswall,London
firewood,1896,2,2,Risoer,London (Tilbury Docks)
firewood,1897,59,59,Fredrikstad,London
firewood,1898,4,4,Fredrikstad,Grimsby
firewood,1899,105,105,Sundswall,London
firewood and,1889,1,1,Kronstadt,London
firewood and,1899,2,2,Arendal,London
firewood and battens,1887,1,1,Sundswall,Dundee
firewood and boards,1887,1,1,Harnosand,London
firewood and boards,1889,1,1,St. Petersburg,Grimsby
firewood and staves,1893,1,1,Skelleftea,London (Surrey Commercial Docks)
firewood blocks,1895,1,1,Ventspils,Irvine
firewood ends,1885,1,1,Fredrikstad,Cork
firewood ends,1895,1,1,Skutskar,Bristol
firewood fir,1881,1,1,Fredrikstad,Newport
firewood headings,1889,1,1,Rotterdam,Liverpool
firewood props,1897,1,1,Porsholm,London
firewood sawn,1887,1,1,Skien,Grimsby
firred wood,1895,1,1,Riga,Newport
firwood,1875,1,1,Gothenburg,Bristol
firwood,1877,6,6,Christiansand,Dundee
firwood,1881,25,25,Sundswall,Grimsby
firwood,1883,2,2,Nederkalix,Greenock
firwood,1887,9,9,Stettin,London
firwood,1889,4,4,Christiania,London
firwood,1891,1,1,Riga,Poole
firwood,1895,1,1,New York,Limerick
firwood headings,1889,1,1,Rotterdam,Liverpool
firwood hewn,1881,11,11,Redon,Bristol
firwood mouldings,1881,1,1,Gothenburg,Poole
firwood planed,1899,1,1,Gothenburg,Poole
firwood sawn,1881,15,15,Pensacola,Fowey
firwood sawn,1897,1,1,Skien,London
firwood sawn and planed,1881,1,1,Drammen,Poole
firwood sleepers,1877,1,1,Halmstad,TIMBER
firwood spars,1895,1,1,Brevig,Grimsby
firwood split,1881,1,1,Riga,
firwood split,1889,1,1,Klaipeda,Tyne
fitwood,1897,1,1,Hennebont,Newport
flitches,1885,1,1,New York,London
floated,1877,1,2,West Coast of Africa,Dundee
floated pine deals,1877,1,1,Quebec,Greenock
floating,1889,1,1,Fredrikstad,London (Tilbury Docks)
floor,1885,1,1,Christiania,London
floor,1887,1,1,Gothenburg,Cowes
floor,1889,1,1,Christiania,Dundee
floor,1890,1,1,Drammen,Liverpool
floor,1891,1,1,Laurvig,London
floor,1895,1,1,Fredrikstad,Liverpool
floor,1898,1,1,Fredrikstad,Tyne
floor and match boards,1899,1,1,Fredrikstad,PRINCE'S DOCK
floor boarding,1889,1,1,Dunkirk,London
floor boards,1881,2,2,Drammen,Poole
floor boards,1889,1,1,Drammen,London
floor boards,1891,1,1,Sundsvall,London
flooring and ends,1885,1,1,Christiania,Liverpool
flooring bds,1899,1,1,Drammen,Liverpool
flooring boards,1875,1,1,Gothenburg,CURRENT PRICES
flooring boards,1877,2,2,Drammen,Bristol
flooring boards,1881,3,3,Fredrikstad,Newry
flooring boards,1885,4,4,Christiania,London
flooring boards,1887,5,5,Gothenburg,London
flooring boards,1889,6,6,Skutskar,London
flooring boards,1890,1,1,Hamburg,London (Tilbury Docks)
flooring boards,1891,6,6,Drammen,Liverpool
flooring boards,1893,5,5,Stenkjar,Liverpool
flooring boards,1895,2,2,Fredrikstad,Exeter
flooring boards,1899,5,5,Fredrikstad,Dublin
flooring boards and bat,1895,1,1,Drammen,Tyne
floorings,1874,4,4,Fredrikstad,London
floorings,1875,2,2,Onega,London
floorings,1877,13,13,Fredrikstad,Dundee
floorings,1881,35,36,Drammen,London
floorings,1883,47,47,Fredrikstad,London
floorings,1884,2,2,Sundswall,Bristol
floorings,1885,49,49,Fredrikstad,London
floorings,1886,1,1,Fredrikstad,Liverpool
floorings,1887,51,51,Drammen,London
floorings,1889,95,95,Fredrikstad,London
floorings,1890,7,7,Drammen,Boston
floorings,1891,49,49,Fredrikstad,London
floorings,1892,4,4,Gothenburg,Tyne
floorings,1893,28,28,Fredrikstad,Liverpool
floorings,1895,8,8,Fredrikstad,London
floorings,1896,2,2,Fredrikstad,London
floorings,1897,10,11,Fredrikstad,London
floorings,1898,3,3,New York,Grimsby
floorings,1899,21,21,Fredrikstad,London
floorings and,1899,1,1,Fredrikstad,London
floorings and matchings,1895,1,1,Hilbrungsberg,Newport
fms,1874,1,1,Riga,Liverpool
fms,1875,2,2,Gothenburg,London
fms,1877,1,1,MÃ¶nsterÃ¥s,Dundee
fms,1881,1,1,Riga,London
fms,1883,6,6,Fredrikstad,Tyne
fms,1885,6,6,Sundswall,London
fms,1887,10,10,Hudikswall,London
fms,1889,5,6,Wyborg,London
fms,1891,3,3,Risoer,London (Tilbury Docks)
fms,1893,8,9,Skutskar,Newport
fms,1895,3,3,Lulea,Liverpool
fms,1899,9,10,Skelleftea,London
fr mining,1885,1,1,Christiansand,Bristol
frames and boards,1885,1,1,Hamburg,Grimsby
french pitwood,1899,2,2,Bayonne,Bristol
frewood,1883,1,1,Christiansand,Montrose
from santa anna,1877,1,1,Tabasco,Dundee
fthms,1899,2,2,Bjorneborg,Grimsby
ftls,1883,2,3,Belize,Liverpool
full,1887,1,1,Rangoon,Greenock
full,1889,1,1,Riga,Liverpool
full,1891,1,1,Rangoon,Greenock
full,1897,1,1,Rangoon,Liverpool
furness,1896,1,1,New York,Tyne
furniture,1883,1,1,Dieppe,Lynn
furniture,1891,1,1,Gothenburg,Tyne
furniture hardwood,1881,4,4,Dieppe,London
furniture wood,1875,3,3,New York,London
furniture wood,1881,1,1,New York,Inverness
furniture wood,1883,2,2,Antigua,Poole
furniture wood,1887,1,1,Quebec,Grimsby
furniture wood,1899,1,1,Baltimore,Dundee
fustic,1874,14,15,Jamaica,Liverpool
fustic,1875,6,6,Tlacotalpan,Liverpool
fustic,1877,5,5,Minatitlan,Dundee
fustic,1880,1,1,Puerta Cortes,Liverpool
fustic,1881,7,7,Minatitlan,Liverpool
fustic,1883,4,4,Jamaica,Dundee
fustic,1891,1,1,Punta Arenas,Liverpool
fustic,1899,1,1,"Halifax,N.S.",NELSON DOCK
game,1893,1,1,Tunas de Zaza,London
gany,1874,1,1,Laguna,Liverpool
garliac,1889,1,1,Curacao,
gilt mould,1883,1,1,Antwerp,Tyne
gjeste,1885,1,1,Christiansand,Poole
gold mouldings,1883,2,2,Rotterdam,Dundee
granadilla,1881,1,1,Zaza,Liverpool
grandillawood,1889,1,1,New Orleans,
green,1883,1,1,Jamaica,Fowey
green ebony,1881,1,1,Jamaica,London
green ebony,1883,1,1,Old Harbour,Liverpool
green ebony,1884,1,1,Jamaica,Liverpool
greenails,1883,1,1,Baltimore,Liverpool
greenheart,1885,1,1,Demerara,Greenock
greenheart,1892,1,1,Ghent,Liverpool
greenheart,1893,1,1,Berbice,London (Tilbury Docks)
greenheart timber,1887,1,1,Demerara,Greenock
grenier,1891,2,2,St. Domingo,London
grooved,1883,1,1,Klaipeda,London
gross,1875,2,2,Tonala,London
guayacan wood,1893,2,2,Saint Domingo,Liverpool
gum,1887,1,1,New York,Liverpool
gum,1899,1,1,New Orleans,London
gum lumber,1897,1,1,Boston,Tyne
gum lumber,1899,1,1,New Orleans,London
gum timber,1893,1,1,Mobile,INTER TOPS
gumwood timber,1893,1,1,Mobile,Greenock
gun,1887,1,1,Rotterdam,London
gun,1889,1,1,Rotterdam,London (Tilbury Docks)
gun stocks,1890,1,1,Rotterdam,Boston
gun-stocks,1874,1,1,Liepāja,London
gun-stocks,1875,1,1,Colombo,London
gunstocks,1885,1,1,Rotterdam,London
gunstocks,1889,3,3,Ghent,London (Tilbury Docks)
half,1874,1,1,Riga,Bristol
half,1875,8,10,Soderhamn,Bristol
half,1877,20,21,Riga,Dundee
half,1881,99,99,Riga,London
half,1882,1,1,Riga,Stockton
half,1883,93,93,Riga,London
half,1884,3,3,Klaipeda,Liverpool
half,1885,53,53,Riga,London
half,1887,32,32,Riga,Dundee
half,1889,57,58,Riga,London
half,1890,6,6,Danzig,London (Tilbury Docks)
half,1891,52,52,Konigsberg,London (Tilbury Docks)
half,1892,6,6,Klaipeda,London (Tilbury Docks)
half,1893,18,19,Konigsberg,London (Tilbury Docks)
half,1895,11,11,Klaipeda,London
half,1897,4,4,Klaipeda,Liverpool
half,1899,2,2,Liepāja,Dundee
half fir,1893,1,1,Riga,Newport
half fir sleepers,1874,1,1,Danzig,Bristol
half fir sleepers,1875,2,2,Klaipeda,Bristol
half fir sleepers,1877,1,2,Laurvig,
half sleeper blocks,1887,1,1,Konigsberg,Tyne
half sleeper blocks,1895,2,2,Riga,Fleetwood
half sleepers,1875,1,1,Danzig,Bristol
half sleepers,1899,1,1,Riga,Tyne
half square sleepers,1889,1,1,Riga,Newport
half-doz,1875,1,1,Gothenburg,London
half-mining timber,1877,1,1,Hudikswall,
half-round,1874,3,3,Riga,Bristol
half-round,1877,1,1,Quebec,
half-round sleepers,1874,2,2,Sundswall,Bristol
half-sleeper,1877,1,1,Riga,Bristol
half-sleepers,1874,5,6,Drammen,London
half-sleepers,1875,7,7,Gothenburg,NEW YORK
half-sleepers,1877,17,19,Riga,Dundee
half-sleepers,1878,1,2,Danzig,Bristol
half-sq,1877,1,1,Quebec,Dundee
half-square,1877,6,7,Riga,Dundee
