cargo_id,record_id,ship_name,origin_port,origin_latitude,origin_longitude,destination_port,destination_latitude,destination_longitude,arrival_year,arrival_month,arrival_day,commodity,quantity,unit,merchant,source_file,line_number,raw_cargo_segment
1,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,sleepers,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"5,555 sleepers, 533 ½ sleepers, Order. Christiana @ Drammen,"
2,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,½ sleepers,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"5,555 sleepers, 533 ½ sleepers, Order. Christiana @ Drammen,"
3,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,battens,,,A. Pelly and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"146 doz. battens, C. J. Im Thurn & Co. 1,062 doz. battens, A. Pelly & Co."
4,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,c j im thurn,,,A. Pelly and Co,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"146 doz. battens, C. J. Im Thurn & Co. 1,062 doz. battens, A. Pelly & Co."
5,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,battens,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"5,487 pcs. battens, Tagart, Boysen, & Co. Christiana @ Christiania,"
6,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"110 fms. firewood, With & Co. (part of deck cargo washed overboard). Svea @ Christiania,"
7,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"208 fms. firewood, Dahl & Sadler. Amelia @ Saunesund,"
8,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"227 fms. firewood, Duus, Brown, & Co. (about 15 fms. thrown overboard). Cecilia @ Fredrikstad,"
9,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,firewood,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"176 fms. firewood, Erlundsen. Haabets Anker @ Fredrikstad,"
10,1,Primrose,Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,1874.0,April,19.0,deals,,,,"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,"3,409 deals, 41,975 pcs. boards, 7,077 staves, Tagart & Co. Tonsberg @ Fredrikstad,"
