origin_port,origin_latitude,origin_longitude,destination_port,destination_latitude,destination_longitude,ship_count
Christiansand,58.1439137156268,7.99468833862306,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,289
Gothenburg,57.70073799777,11.9680483386231,POOLE,50.7150500000001,-1.98724800000002,289
Porsgrund,59.1429922168333,9.65712996826176,GRIMSBY,53.5674710000001,-0.0807839999998805,288
Cronstadt,59.9939156370316,29.7714865185547,LIVERPOOL,53.4083714,-2.99157259999998,280
Kotka,60.4671369633067,26.9184724444581,LONDON,51.5073509000001,-0.127758299999982,274
Boston,42.3595726133805,-71.0574266455077,LONDON,51.5073509000001,-0.127758299999982,272
New York,40.713197770232,-74.0078266455077,BRISTOL,51.4545130000001,-2.58790999999997,269
Christiania,59.9127593309038,10.7460535835705,LIVERPOOL,53.4083714,-2.99157259999998,267
Quebec City,46.8198570676248,-71.200611493121,BRISTOL,51.4545130000001,-2.58790999999997,261
Drammen,59.7478785493119,10.1840215950051,Tyne Ports,55.0179189721861,-1.42556335449211,261
Riga,56.9520033661236,24.1136539340975,NEWPORT,51.584151,-2.99766399999993,259
Oscarshamn,57.2700755313257,16.4433368359375,GRIMSBY,53.5674710000001,-0.0807839999998805,257
Christiania,59.9127593309038,10.7460535835705,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,256
Halmstad,56.6722010493411,12.857328338623,GRIMSBY,53.5674710000001,-0.0807839999998805,246
Archangel,64.5412075020308,40.5439866455079,LONDON,51.5073509000001,-0.127758299999982,242
Norfolk,36.8507,-76.2859,LIVERPOOL,53.4083714,-2.99157259999998,239
Soderhamn,61.3020539997905,17.0512700317383,GRIMSBY,53.5674710000001,-0.0807839999998805,239
Riga,56.9520033661236,24.1136539340975,POOLE,50.7150500000001,-1.98724800000002,239
Danzig,54.3532540815076,18.6510183386231,LIVERPOOL,53.4083714,-2.99157259999998,237
Drammen,59.7478785493119,10.1840215950051,BRISTOL,51.4545130000001,-2.58790999999997,236
Konigsberg,54.7112317805089,20.4988802856446,GRIMSBY,53.5674710000001,-0.0807839999998805,235
Rotterdam,51.9209408964375,4.4874063916016,LIVERPOOL,53.4083714,-2.99157259999998,233
Lorient,47.75,-3.36,NEWPORT,51.584151,-2.99766399999993,232
Riga,56.9520033661236,24.1136539340975,Lynn (King's Lynn),52.7516798,0.402296300000103,228
Gothenburg,57.70073799777,11.9680483386231,BRISTOL,51.4545130000001,-2.58790999999997,227
Sundswall,62.3890780504242,17.3063352870027,Tyne Ports,55.0179189721861,-1.42556335449211,227
Fredrikstad,59.2139821431688,10.9357039213349,BRISTOL,51.4545130000001,-2.58790999999997,223
Christiania,59.9127593309038,10.7460535835705,DUNDEE,56.4612028818325,-2.96765932817017,223
Redon,47.6509129777457,-2.08601583068829,NEWPORT,51.584151,-2.99766399999993,220
Stettin,53.4252665374726,14.5555758306886,LONDON,51.5073509000001,-0.127758299999982,214
St. Petersburg,59.9339888563424,30.3067266455079,GRIMSBY,53.5674710000001,-0.0807839999998805,214
Klaipeda,55.71722,21.12861,Tyne Ports,55.0179189721861,-1.42556335449211,212
Archangel,64.5412075020308,40.5439866455079,BRISTOL,51.4545130000001,-2.58790999999997,212
Drammen,59.7478785493119,10.1840215950051,LIVERPOOL,53.4083714,-2.99157259999998,210
Arendal,58.4701420246829,8.7584524351543,Tyne Ports,55.0179189721861,-1.42556335449211,210
Stockholm,59.332961003529,18.0661433544922,GRIMSBY,53.5674710000001,-0.0807839999998805,210
Kalmar,56.6660571924049,16.3637093814175,GRIMSBY,53.5674710000001,-0.0807839999998805,208
Klaipeda,55.71722,21.12861,DUNDEE,56.4612028818325,-2.96765932817017,207
Wyborg,60.7132675840768,28.7476258831691,GRIMSBY,53.5674710000001,-0.0807839999998805,207
New York,40.713197770232,-74.0078266455077,GRIMSBY,53.5674710000001,-0.0807839999998805,205
Hamburg,53.5381947874472,9.96457836097262,Tyne Ports,55.0179189721861,-1.42556335449211,199
Falkenberg,56.9057503779718,12.4903241693116,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,198
Pensacola,30.4172348803734,-87.2103635449219,GREENOCK,55.9505077629267,-4.75971798437838,195
Stockholm,59.332961003529,18.0661433544922,LONDON,51.5073509000001,-0.127758299999982,194
Arendal,58.4701420246829,8.7584524351543,GRIMSBY,53.5674710000001,-0.0807839999998805,194
Montreal,45.5129959517878,-73.5553766455077,BRISTOL,51.4545130000001,-2.58790999999997,193
Sundswall,62.3890780504242,17.3063352870027,POOLE,50.7150500000001,-1.98724800000002,192
Sundswall,62.3890780504242,17.3063352870027,LIVERPOOL,53.4083714,-2.99157259999998,189
Fredrikshald,59.1248045350242,11.3874541693116,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,187
Brevig,59.05544,9.69593,GRIMSBY,53.5674710000001,-0.0807839999998805,187
Skelleftea,64.7495721160482,20.9557144459604,GRIMSBY,53.5674710000001,-0.0807839999998805,186
St. John,45.2727437249886,-66.0681749841308,BRISTOL,51.4545130000001,-2.58790999999997,184
Drammen,59.7478785493119,10.1840215950051,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,184
Gefle,60.6782700353304,17.1835063783265,LIVERPOOL,53.4083714,-2.99157259999998,184
Drammen,59.7478785493119,10.1840215950051,GRIMSBY,53.5674710000001,-0.0807839999998805,183
Cronstadt,59.9939156370316,29.7714865185547,GREENOCK,55.9505077629267,-4.75971798437838,182
Archangel,64.5412075020308,40.5439866455079,LIVERPOOL,53.4083714,-2.99157259999998,182
Gothenburg,57.70073799777,11.9680483386231,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,181
New York,40.713197770232,-74.0078266455077,Tyne Ports,55.0179189721861,-1.42556335449211,180
Rotterdam,51.9209408964375,4.4874063916016,GREENOCK,55.9505077629267,-4.75971798437838,180
Redon,47.6509129777457,-2.08601583068829,BRISTOL,51.4545130000001,-2.58790999999997,177
Riga,56.9520033661236,24.1136539340975,INVERNESS,57.4827277738256,-4.22737025390621,175
Gefle,60.6782700353304,17.1835063783265,BRISTOL,51.4545130000001,-2.58790999999997,175
Auray,47.6667153763157,-2.98168918518064,BRISTOL,51.4545130000001,-2.58790999999997,173
Boston,42.3595726133805,-71.0574266455077,DUNDEE,56.4612028818325,-2.96765932817017,172
Sundswall,62.3890780504242,17.3063352870027,BRISTOL,51.4545130000001,-2.58790999999997,172
Miramichi,47.0020037704552,-65.5685833227539,LIVERPOOL,53.4083714,-2.99157259999998,169
Ventspils,57.4,21.5333,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,169
Hudikswall,61.726078358643,17.1114100974464,GRIMSBY,53.5674710000001,-0.0807839999998805,166
Quebec City,46.8198570676248,-71.200611493121,Tyne Ports,55.0179189721861,-1.42556335449211,166
Fredrikstad,59.2139821431688,10.9357039213349,POOLE,50.7150500000001,-1.98724800000002,166
Kragero,58.8663222461009,9.39912854232773,Tyne Ports,55.0179189721861,-1.42556335449211,165
Baltimore,39.2909022702315,-76.6096033227539,TILBURY DOCKS,51.454605122463,0.346938878173947,164
Kotka,60.4671369633067,26.9184724444581,GRIMSBY,53.5674710000001,-0.0807839999998805,163
New York,40.713197770232,-74.0078266455077,Tilbury Docks,51.454605122463,0.346938878173947,163
Danzig,54.3532540815076,18.6510183386231,POOLE,50.7150500000001,-1.98724800000002,162
Halmstad,56.6722010493411,12.857328338623,Tyne Ports,55.0179189721861,-1.42556335449211,161
Liepāja,56.53,20.99,GRIMSBY,53.5674710000001,-0.0807839999998805,159
Danzig,54.3532540815076,18.6510183386231,NEWPORT,51.584151,-2.99766399999993,159
Bordeaux,44.8383676829183,-0.572658592529262,POOLE,50.7150500000001,-1.98724800000002,159
Gothenburg,57.70073799777,11.9680483386231,Lynn (King's Lynn),52.7516798,0.402296300000103,158
Drammen,59.7478785493119,10.1840215950051,DUNDEE,56.4612028818325,-2.96765932817017,157
Pensacola,30.4172348803734,-87.2103635449219,LONDON,51.5073509000001,-0.127758299999982,154
Gefle,60.6782700353304,17.1835063783265,Tyne Ports,55.0179189721861,-1.42556335449211,153
Rotterdam,51.9209408964375,4.4874063916016,INVERNESS,57.4827277738256,-4.22737025390621,153
Cronstadt,59.9939156370316,29.7714865185547,INVERNESS,57.4827277738256,-4.22737025390621,151
Rangoon,16.8058031650266,96.1549083703614,LIVERPOOL,53.4083714,-2.99157259999998,151
Rotterdam,51.9209408964375,4.4874063916016,DUNDEE,56.4612028818325,-2.96765932817017,150
Auray,47.6667153763157,-2.98168918518064,NEWPORT,51.584151,-2.99766399999993,150
Klaipeda,55.71722,21.12861,BRISTOL,51.4545130000001,-2.58790999999997,149
Liepāja,56.53,20.99,LONDON,51.5073509000001,-0.127758299999982,147
Porsgrund,59.1429922168333,9.65712996826176,Tyne Ports,55.0179189721861,-1.42556335449211,146
Klaipeda,55.71722,21.12861,LIVERPOOL,53.4083714,-2.99157259999998,145
Bjorneborg,61.4862538765185,21.7956274920657,GRIMSBY,53.5674710000001,-0.0807839999998805,145
Miramichi,47.0020037704552,-65.5685833227539,Tyne Ports,55.0179189721861,-1.42556335449211,145
Bergkvara,56.3939904601259,16.0666587460329,GRIMSBY,53.5674710000001,-0.0807839999998805,145
Fredrikstad,59.2139821431688,10.9357039213349,Tyne Ports,55.0179189721861,-1.42556335449211,145
Danzig,54.3532540815076,18.6510183386231,Tyne Ports,55.0179189721861,-1.42556335449211,144
Halmstad,56.6722010493411,12.857328338623,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,144
Christiania,59.9127593309038,10.7460535835705,NEWPORT,51.584151,-2.99766399999993,144
Mobile,30.7122,-88.0433,LIVERPOOL,53.4083714,-2.99157259999998,143
Bjorneborg,61.4862538765185,21.7956274920657,Tyne Ports,55.0179189721861,-1.42556335449211,143
Hamburg,53.5381947874472,9.96457836097262,GRIMSBY,53.5674710000001,-0.0807839999998805,143
Uddevalla,58.3509732601018,11.9325193821388,LONDON,51.5073509000001,-0.127758299999982,141
Hernosand,62.6335551234768,17.9374935762681,LONDON,51.5073509000001,-0.127758299999982,141
Gefle,60.6782700353304,17.1835063783265,Lynn (King's Lynn),52.7516798,0.402296300000103,141
Hamburg,53.5381947874472,9.96457836097262,LONDON,51.5073509000001,-0.127758299999982,141
Hernosand,62.6335551234768,17.9374935762681,DUNDEE,56.4612028818325,-2.96765932817017,140
Danzig,54.3532540815076,18.6510183386231,BRISTOL,51.4545130000001,-2.58790999999997,139
Risoer,58.7177754400355,9.21217460846031,NEWPORT,51.584151,-2.99766399999993,139
Kragero,58.8663222461009,9.39912854232773,GRIMSBY,53.5674710000001,-0.0807839999998805,139
Villagarcia,42.5919624599263,-8.76473999999991,BRISTOL,51.4545130000001,-2.58790999999997,139
Pensacola,30.4172348803734,-87.2103635449219,BRISTOL,51.4545130000001,-2.58790999999997,139
Gothenburg,57.70073799777,11.9680483386231,Stockton-on-Tees,54.5704551000001,-1.32898209999991,138
Stettin,53.4252665374726,14.5555758306886,Tyne Ports,55.0179189721861,-1.42556335449211,138
Konigsberg,54.7112317805089,20.4988802856446,LONDON,51.5073509000001,-0.127758299999982,137
Gothenburg,57.70073799777,11.9680483386231,GREENOCK,55.9505077629267,-4.75971798437838,136
Bjorneborg,61.4862538765185,21.7956274920657,DUNDEE,56.4612028818325,-2.96765932817017,136
Baltimore,39.2909022702315,-76.6096033227539,LONDON,51.5073509000001,-0.127758299999982,135
Halifax,44.6458582609808,-63.5779232910155,LIVERPOOL,53.4083714,-2.99157259999998,135
Skien,59.2091678279277,9.60874112253406,GRIMSBY,53.5674710000001,-0.0807839999998805,134
Hamburg,53.5381947874472,9.96457836097262,LIVERPOOL,53.4083714,-2.99157259999998,133
Miramichi,47.0020037704552,-65.5685833227539,BRISTOL,51.4545130000001,-2.58790999999997,133
Skutskar,60.6295982909093,17.4141847022097,GRIMSBY,53.5674710000001,-0.0807839999998805,132
Baltimore,39.2909022702315,-76.6096033227539,DUNDEE,56.4612028818325,-2.96765932817017,132
Bordeaux,44.8383676829183,-0.572658592529262,Stockton-on-Tees,54.5704551000001,-1.32898209999991,130
Bremen,53.0751069869248,8.80453344224812,LONDON,51.5073509000001,-0.127758299999982,127
Sundswall,62.3890780504242,17.3063352870027,NEWPORT,51.584151,-2.99766399999993,126
Uleaborg,65.0115283017847,25.4736063917974,LONDON,51.5073509000001,-0.127758299999982,126
Cronstadt,59.9939156370316,29.7714865185547,MONTROSE,56.7213304436428,-2.46576667724605,126
Porsgrund,59.1429922168333,9.65712996826176,LIVERPOOL,53.4083714,-2.99157259999998,126
Stettin,53.4252665374726,14.5555758306886,BRISTOL,51.4545130000001,-2.58790999999997,126
Archangel,64.5412075020308,40.5439866455079,DUNDEE,56.4612028818325,-2.96765932817017,125
Gefle,60.6782700353304,17.1835063783265,POOLE,50.7150500000001,-1.98724800000002,125
Vannes,47.6581346492864,-2.75984999999963,BRISTOL,51.4545130000001,-2.58790999999997,125
Cronstadt,59.9939156370316,29.7714865185547,BRISTOL,51.4545130000001,-2.58790999999997,125
Drammen,59.7478785493119,10.1840215950051,POOLE,50.7150500000001,-1.98724800000002,124
Porsgrund,59.1429922168333,9.65712996826176,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,122
Uleaborg,65.0115283017847,25.4736063917974,GRIMSBY,53.5674710000001,-0.0807839999998805,121
Riga,56.9520033661236,24.1136539340975,DUBLIN,53.346388727,-6.21662037199997,120
Vannes,47.6581346492864,-2.75984999999963,NEWPORT,51.584151,-2.99766399999993,119
Bordeaux,44.8383676829183,-0.572658592529262,LONDON,51.5073509000001,-0.127758299999982,119
Christiansand,58.1439137156268,7.99468833862306,Tyne Ports,55.0179189721861,-1.42556335449211,118
Danzig,54.3532540815076,18.6510183386231,DUNDEE,56.4612028818325,-2.96765932817017,118
Portland,43.659190604866,-70.2568747685552,LIVERPOOL,53.4083714,-2.99157259999998,117
Fredrikstad,59.2139821431688,10.9357039213349,NEWPORT,51.584151,-2.99766399999993,117
Gefle,60.6782700353304,17.1835063783265,DUNDEE,56.4612028818325,-2.96765932817017,116
Christiania,59.9127593309038,10.7460535835705,BRISTOL,51.4545130000001,-2.58790999999997,116
Västervik (Westerwik),57.7578248725028,16.6446077941132,GRIMSBY,53.5674710000001,-0.0807839999998805,116
Cronstadt,59.9939156370316,29.7714865185547,Tyne Ports,55.0179189721861,-1.42556335449211,116
Sundswall,62.3890780504242,17.3063352870027,INVERNESS,57.4827277738256,-4.22737025390621,114
St. John,45.2727437249886,-66.0681749841308,LONDON,51.5073509000001,-0.127758299999982,114
New York,40.713197770232,-74.0078266455077,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,114
Fredrikstad,59.2139821431688,10.9357039213349,GRIMSBY,53.5674710000001,-0.0807839999998805,113
Quebec City,46.8198570676248,-71.200611493121,GRIMSBY,53.5674710000001,-0.0807839999998805,112
Porsgrund,59.1429922168333,9.65712996826176,BRISTOL,51.4545130000001,-2.58790999999997,111
Stettin,53.4252665374726,14.5555758306886,NEWPORT,51.584151,-2.99766399999993,111
Newport News,36.9667,-76.4167,LIVERPOOL,53.4083714,-2.99157259999998,111
Fredrikshald,59.1248045350242,11.3874541693116,GRIMSBY,53.5674710000001,-0.0807839999998805,111
Konigsberg,54.7112317805089,20.4988802856446,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,110
Ljusne,61.207568379634,17.1270999776843,LONDON,51.5073509000001,-0.127758299999982,109
Danzig,54.3532540815076,18.6510183386231,Lynn (King's Lynn),52.7516798,0.402296300000103,109
Hudikswall,61.726078358643,17.1114100974464,LONDON,51.5073509000001,-0.127758299999982,109
Christiania,59.9127593309038,10.7460535835705,POOLE,50.7150500000001,-1.98724800000002,109
St. John,45.2727437249886,-66.0681749841308,DUBLIN,53.346388727,-6.21662037199997,108
Soderhamn,61.3020539997905,17.0512700317383,Tyne Ports,55.0179189721861,-1.42556335449211,108
Stettin,53.4252665374726,14.5555758306886,DUNDEE,56.4612028818325,-2.96765932817017,107
Cronstadt,59.9939156370316,29.7714865185547,POOLE,50.7150500000001,-1.98724800000002,106
Quebec City,46.8198570676248,-71.200611493121,NEWPORT,51.584151,-2.99766399999993,106
Trondheim (Drontheim),63.4418008643108,10.4085794921875,DUNDEE,56.4612028818325,-2.96765932817017,105
Bjorneborg,61.4862538765185,21.7956274920657,LONDON,51.5073509000001,-0.127758299999982,105
Arendal,58.4701420246829,8.7584524351543,BRISTOL,51.4545130000001,-2.58790999999997,104
Klaipeda,55.71722,21.12861,POOLE,50.7150500000001,-1.98724800000002,104
Rotterdam,51.9209408964375,4.4874063916016,LONDON,51.5073509000001,-0.127758299999982,104
Stettin,53.4252665374726,14.5555758306886,LIVERPOOL,53.4083714,-2.99157259999998,104
Christiansand,58.1439137156268,7.99468833862306,BRISTOL,51.4545130000001,-2.58790999999997,103
Pensacola,30.4172348803734,-87.2103635449219,GRIMSBY,53.5674710000001,-0.0807839999998805,103
Kotka,60.4671369633067,26.9184724444581,Tyne Ports,55.0179189721861,-1.42556335449211,102
Lulea,65.5836989328213,22.151866677246,GRIMSBY,53.5674710000001,-0.0807839999998805,102
New York,40.713197770232,-74.0078266455077,GREENOCK,55.9505077629267,-4.75971798437838,102
Sundswall,62.3890780504242,17.3063352870027,Lynn (King's Lynn),52.7516798,0.402296300000103,101
St. John,45.2727437249886,-66.0681749841308,CORK,51.9014959520001,-8.44685895399994,101
Hamburg,53.5381947874472,9.96457836097262,Tilbury Docks,51.454605122463,0.346938878173947,101
Quebec City,46.8198570676248,-71.200611493121,POOLE,50.7150500000001,-1.98724800000002,100
Pensacola,30.4172348803734,-87.2103635449219,Tyne Ports,55.0179189721861,-1.42556335449211,100
Porsgrund,59.1429922168333,9.65712996826176,DUNDEE,56.4612028818325,-2.96765932817017,99
Christiansand,58.1439137156268,7.99468833862306,GRIMSBY,53.5674710000001,-0.0807839999998805,99
Lorient,47.75,-3.36,BRISTOL,51.4545130000001,-2.58790999999997,99
Fredrikshald,59.1248045350242,11.3874541693116,Tyne Ports,55.0179189721861,-1.42556335449211,98
Danzig,54.3532540815076,18.6510183386231,Tilbury Docks,51.454605122463,0.346938878173947,98
Fredrikshald,59.1248045350242,11.3874541693116,LONDON,51.5073509000001,-0.127758299999982,98
Risoer,58.7177754400355,9.21217460846031,GRIMSBY,53.5674710000001,-0.0807839999998805,98
Riga,56.9520033661236,24.1136539340975,Stockton-on-Tees,54.5704551000001,-1.32898209999991,98
Drammen,59.7478785493119,10.1840215950051,GREENOCK,55.9505077629267,-4.75971798437838,98
Soderhamn,61.3020539997905,17.0512700317383,Lynn (King's Lynn),52.7516798,0.402296300000103,97
Karlskrona,56.1608063124393,15.5844683386232,GRIMSBY,53.5674710000001,-0.0807839999998805,97
Sandarne,61.2603765627516,17.1444458306885,LONDON,51.5073509000001,-0.127758299999982,97
Riga,56.9520033661236,24.1136539340975,MONTROSE,56.7213304436428,-2.46576667724605,96
Sundswall,62.3890780504242,17.3063352870027,GREENOCK,55.9505077629267,-4.75971798437838,96
Wyborg,60.7132675840768,28.7476258831691,Tyne Ports,55.0179189721861,-1.42556335449211,96
Abo,60.4528020408486,22.2514641693117,LONDON,51.5073509000001,-0.127758299999982,95
Stettin,53.4252665374726,14.5555758306886,POOLE,50.7150500000001,-1.98724800000002,95
Brevig,59.05544,9.69593,Lynn (King's Lynn),52.7516798,0.402296300000103,95
Philadelphia,39.9521191086056,-75.16218,DUNDEE,56.4612028818325,-2.96765932817017,94
Skutskar,60.6295982909093,17.4141847022097,LONDON,51.5073509000001,-0.127758299999982,94
Drammen,59.7478785493119,10.1840215950051,NEWPORT,51.584151,-2.99766399999993,94
Kotka,60.4671369633067,26.9184724444581,DUNDEE,56.4612028818325,-2.96765932817017,94
St. Petersburg,59.9339888563424,30.3067266455079,LIVERPOOL,53.4083714,-2.99157259999998,93
Skelleftea,64.7495721160482,20.9557144459604,LONDON,51.5073509000001,-0.127758299999982,93
St. John,45.2727437249886,-66.0681749841308,DUNDEE,56.4612028818325,-2.96765932817017,93
Porsgrund,59.1429922168333,9.65712996826176,Lynn (King's Lynn),52.7516798,0.402296300000103,92
Laurvig,59.0519993698318,10.0222858306885,LONDON,51.5073509000001,-0.127758299999982,92
Archangel,64.5412075020308,40.5439866455079,NEWPORT,51.584151,-2.99766399999993,92
Trondheim (Drontheim),63.4418008643108,10.4085794921875,GRIMSBY,53.5674710000001,-0.0807839999998805,92
Pitea,65.3204766227601,21.4732333544922,GRIMSBY,53.5674710000001,-0.0807839999998805,92
Pensacola,30.4172348803734,-87.2103635449219,NEWPORT,51.584151,-2.99766399999993,92
Bordeaux,44.8383676829183,-0.572658592529262,DUNDEE,56.4612028818325,-2.96765932817017,91
Pensacola,30.4172348803734,-87.2103635449219,DUNDEE,56.4612028818325,-2.96765932817017,90
Oscarshamn,57.2700755313257,16.4433368359375,Tyne Ports,55.0179189721861,-1.42556335449211,90
Hernosand,62.6335551234768,17.9374935762681,Tyne Ports,55.0179189721861,-1.42556335449211,90
Bordeaux,44.8383676829183,-0.572658592529262,CARDIFF,51.4815810000001,-3.17908999999992,89
Skien,59.2091678279277,9.60874112253406,Lynn (King's Lynn),52.7516798,0.402296300000103,89
Philadelphia,39.9521191086056,-75.16218,LONDON,51.5073509000001,-0.127758299999982,89
Archangel,64.5412075020308,40.5439866455079,POOLE,50.7150500000001,-1.98724800000002,89
Klaipeda,55.71722,21.12861,Lynn (King's Lynn),52.7516798,0.402296300000103,88
Laurvig,59.0519993698318,10.0222858306885,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,87
Trieste,45.6582454829909,13.7725183386231,LIVERPOOL,53.4083714,-2.99157259999998,87
Riga,56.9520033661236,24.1136539340975,GOOLE,53.7029410000001,-0.876380999999981,86
