year,commodity,cargo_rows
1874,deals,229
1874,battens,105
1874,staves,57
1874,deal ends,42
1874,lathwood,35
1874,firewood,35
1874,boards,34
1874,timber,23
1874,ends,21
1874,sleepers,17
1874,t logwood,14
1874,planks,14
1874,oak,9
1874,mahogany,9
1874,oak staves,9
1874,wood pulp,9
1874,oars,8
1874,birch,7
1874,palings,6
1874,spars,5
1874,pine,4
1874,ash,4
1874,hickory,4
1874,pieces,4
1874,wood,4
1874,ventilators,4
1874,wainscot logs,4
1874,rickers,4
1874,logs,4
1874,cedar,3
1874,laths,3
1874,ebony,3
1874,ends mahogany,3
1874,treenails,3
1874,t fustic,3
1874,wood goods,3
1874,sticks,3
1874,sleeper blocks,2
1874,pipe staves,2
1874,fustic,2
1874,elm,2
1874,walnut,2
1874,bls wood pulp,2
1874,mouldings,2
1874,satinwood,2
1874,t ebony,2
1874,churchill,2
1874,shocks,2
1874,deal cuttings,2
1874,redwood,1
1874,sapau wood,1
1874,½ t rosewood,1
1874,pine deals,1
1874,white pine,1
1874,lignum vitæ,1
1874,walnut wood,1
1874,½ ash,1
1874,whitewood,1
1874,redwood deals,1
1874,½ firewood,1
1874,½ sleeper blocks,1
1874,pine deal ends,1
1874,spruce deals,1
1874,red fir timber,1
1874,ppe,1
1874,brandr hdg,1
1874,short hdg staves,1
1874,fantails,1
1874,cub firewood,1
1874,mille staves,1
1874,fir deals,1
1874,fir timber,1
1874,¾ lathwood,1
1874,scantling,1
1874,bunches palings,1
1874,½ t logwood,1
1874,hhd,1
1874,scantlings,1
1874,boxwood,1
1874,@ planks,1
1874,sapanwood,1
1874,pine deck planks,1
1874,plk ends,1
1874,plan ends,1
1874,t lathwood,1
1874,oak balks,1
1874,hhd staves,1
1874,(s) @ cronstadt,1
1874,balm,1
1874,fancy wood,1
1874,board ends,1
1874,flooring logs,1
1874,fir,1
1874,handspikes,1
1874,gany,1
1874,blocks lignum vitæ,1
1874,sim,1
1874,duus,1
1874,brown,1
1874,(15,1
1874,staves were washed overboard),1
1874,maple,1
1874,giffords @ memel,1
1874,pine blocks,1
1874,washed overboard),1
1874,de mars @ konigsberg,1
1874,solo @ quebec,1
1874,slating laths,1
1874,bds palings,1
1874,cs wood pulp,1
1874,josephine @ quebec,1
1874,cowan @ cronstadt,1
1874,maria @ riga,1
1874,f plahte horseguard (s) @ danzig,1
1874,gilmour,1
1874,urbino (s) @ riga,1
1874,teak,1
1874,shooks,1
1874,roundwood,1
1874,james harris (s) @ dantzic,1
1874,t r boyce irene @ gefle,1
1874,garten,1
1874,oak wainscot logs,1
1874,cs bobbins,1
1874,spokes,1
1874,lances,1
1874,billets ebony,1
1874,cass lathwood,1
1874,a qty cedar bolts,1
1874,headings,1
1874,1/2 t ebony,1
1874,cottam,1
1874,nelson @ pensacola,1
1874,crow,1
1874,jane francis @ jamaica,1
1874,guiseppe prota @ genoa,1
1874,stocks,1
1874,muda,1
1874,logs j graham,1
1874,poussin @ skien,1
1874,lgs timber,1
1874,fm lathwood,1
1874,wainscotings,1
1875,deals,170
1875,c deals,102
1875,battens,85
1875,timber,79
1875,firewood,63
1875,staves,57
1875,boards,53
1875,sleepers,40
1875,pit props,38
1875,lathwood,34
1875,ends,28
1875,½ sleepers,24
1875,deal ends,23
1875,mahogany,19
1875,c battens,16
1875,cedar,13
1875,wood,12
1875,logs,12
1875,laths,9
1875,treenails,8
1875,props,8
1875,palings,7
1875,oak,7
1875,scantlings,7
1875,tagart,6
1875,oars,6
1875,mouldings,6
1875,wainscot logs,6
1875,spars,6
1875,c boards,6
1875,planed boards,6
1875,planks,5
1875,oak timber,5
1875,mining timber,5
1875,hd staves,5
1875,½ firewood,5
1875,furniture wood,5
1875,sleeper blocks,5
1875,rosewood,4
1875,fir timber,4
1875,ends mahogany,4
1875,t logwood,4
1875,pieces,4
1875,ebony,4
1875,sund,4
1875,lignum vitæ,4
1875,blocks teak,4
1875,lancewood spars,4
1875,james black,4
1875,poles,4
1875,oak staves,3
1875,handspikes,3
1875,rickers,3
1875,elm,3
1875,craig,3
1875,bell,3
1875,satin wood,3
1875,turned wood,3
1875,curls,3
