source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,raw_segment,extraction_method,needs_review,original_extracted_ship,similarity_score,duplicate_reason
"11. 171-173 - September 15 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",8,Etna,Riga,DUNDEE,—22,999 pcs,,,1877,15,9,1877,False,"Etna @ Riga,—22,999 pcs. deals and deal ends.",MEGA_SPLIT,True,Etna,1.0000,Similar to original_extracted_ship
"11. 171-173 - September 15 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",8,Etna,Riga,DUNDEE,—22,999 pcs,,,1877,15,9,1877,False,"Etna @ Riga,—22,999 pcs. deals and deal ends.",MEGA_SPLIT,True,Etna,1.0000,Similar to original_extracted_ship
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Canova,Quebec,GREENOCK,327 pcs,,,,1874,8,8,1874,False,"Canova @ Quebec, 327 pcs. birch, 320 pcs. oak, 22 pcs. hickory, ash, 417 pcs. waney British pine, 387 pcs. square white pine, 518 pcs. pine deals, 723 dry pine deals, 1,000 pcs. pine ends, 2,400 pcs. pipe staves, 3,000 pcs. R. O. W. I. staves, Order.",MULTI_SPLIT,True,Canova,1.0000,Similar to original_extracted_ship
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Freya,Drammen,BRISTOL,"—6,423 battens",James Brownlee,,,1875,30,10,1875,False,"Freya @ Drammen,—6,423 battens, James Brownlee.",MULTI_SPLIT,True,Freya,1.0000,Similar to original_extracted_ship
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",46,Sif,Hernosend,LONDON,—988 dz,,,,1875,12,6,1875,False,"Sif @ Hernosend,—988 dz. planks and battens,",MULTI_SPLIT,True,Sif,1.0000,Similar to original_extracted_ship
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",48,Princess Royal,Quebec,GREENOCK,—375 pcs,,,,1874,12,12,1874,False,"Princess Royal @ Quebec,—375 pcs. red pine, 622 pcs. white pine, 1 piece elm, 15 pcs. white pine, 89 pcs. birch, 1,952 deals 2,160 pipe staves, 2,390 W. I. staves, 21 cords lathwood, Jas. Brownlee.",MULTI_SPLIT,True,Princess Royal,1.0000,Similar to original_extracted_ship
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",49,Mayborough,Quebec,GREENOCK,—144 pcs,,,,1874,8,8,1874,False,"Mayborough @ Quebec,—144 pcs. oak, 26 pcs. elm, 125 pcs. red pine, 556 pcs. white pine timber, 2,445 pcs. deals, 85 pipe staves, 1,460 pun. staves, J. and A. Roxburgh.",MULTI_SPLIT,True,Mayborough,1.0000,Similar to original_extracted_ship
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Vespasian,Taganrog,BO'NESS,—36,698 pcs,,,1875,21,8,1875,True,"Vespasian (s) @ Taganrog,—36,698 pcs. boxwood, Gardner & Sons.",MULTI_SPLIT,True,Vespasian,1.0000,Similar to original_extracted_ship
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Clolia,Gefle,BRISTOL,"—16,422 deals",&c,,,1875,21,8,1875,False,"Clolia @ Gefle,—16,422 deals, &c., R. Wade, Sons, & Co.",MULTI_SPLIT,True,Clolia,1.0000,Similar to original_extracted_ship
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",14,Henry Reed,Drontheim,BO'NESS,—70 c,,,,1875,21,8,1875,False,"Henry Reed @ Drontheim,—70 c. deals, &c., Good.",MULTI_SPLIT,True,Henry Reed,1.0000,Similar to original_extracted_ship
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",23,Minnie,Moss,BRISTOL,"—3,198 pit props, Allison, Cousland",& Co,,,1875,21,8,1875,False,"Minnie @ Moss,—3,198 pit props, Allison, Cousland, & Co.",MULTI_SPLIT,True,Minnie,1.0000,Similar to original_extracted_ship
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p001.txt",158,Constance,Riga,WICK,"—8,837 square sleepers, 972 half-square sleepers",Order,,,1877,4,8,1877,True,"Constance (s) @ Riga,—8,837 square sleepers, 972 half-square sleepers, Order.",MULTI_SPLIT,True,Constance,1.0000,Similar to original_extracted_ship
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",3,Rolla,Gothenburg,NEW YORK,—970 pcs,,,,1874,22,8,1874,True,"Rolla (s) @ Gothenburg,—970 pcs. deals, 783 pcs. deal ends, 1,572 pcs. pipe staves, Order.",MULTI_SPLIT,True,Rolla,1.0000,Similar to original_extracted_ship
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",3,Rolla,Gothenburg,NEW YORK,—970 pcs,,,,1874,22,8,1874,True,"Rolla (s) @ Gothenburg,—970 pcs. deals, 783 pcs. deal ends, 1,572 pcs. pipe staves, Order.",MULTI_SPLIT,True,Rolla,1.0000,Similar to original_extracted_ship
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",38,Louise,Stettin,BRISTOL,—373 pcs,,,,1874,27,6,1874,False,"Louise @ Stettin,—373 pcs. timber, Order.",MULTI_SPLIT,True,Louise,1.0000,Similar to original_extracted_ship
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",40,Liberia,Genoa,BO'NESS,"—1,700 walnut planks",Order,,,1875,21,8,1875,False,"Liberia @ Genoa,—1,700 walnut planks, Order.",MULTI_SPLIT,True,Liberia,1.0000,Similar to original_extracted_ship
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",45,Nicodemus,Mandal,GREENOCK,"—2,623 battens, 2,869 boards; a quantity of firewood, Allison",Coustand & Hamilton,,,1875,26,6,1875,False,"Nicodemus @ Mandal,—2,623 battens, 2,869 boards; a quantity of firewood, Allison, Coustand & Hamilton.",MULTI_SPLIT,True,Nicodemus,1.0000,Similar to original_extracted_ship
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",66,Success,Cronstadt,BIRKBECK BUILDING SOCIETY'S,—5,360 pcs,,,1875,30,10,1875,False,"Success @ Cronstadt,—5,360 pcs. lathwood, 9 loads firewood, Mitchell & Ramsey.",MULTI_SPLIT,True,Success,1.0000,Similar to original_extracted_ship
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",68,Briton,Sandefiord,BO'NESS,"—5,596 props",379 pcs,,,1877,28,4,1877,False,"Briton @ Sandefiord,—5,596 props, 379 pcs. timber, 20 tons birch bark, A. Gulstad & Co.",MULTI_SPLIT,True,Briton,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,Express,Uleaborg,BRISTOL,"—20,549 deals and boards",Order,,,1875,21,8,1875,False,"Express @ Uleaborg,—20,549 deals and boards, Order.",MULTI_SPLIT,True,Express,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,Express,Uleaborg,BRISTOL,"—20,549 deals and boards",Order,,,1875,21,8,1875,False,"Express @ Uleaborg,—20,549 deals and boards, Order.",MULTI_SPLIT,True,Express,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,Vespasian,Taganrog,BO'NESS,—36,698 pcs,,,1875,21,8,1875,True,"Vespasian (s) @ Taganrog,—36,698 pcs. boxwood, Gardner & Sons.",MULTI_SPLIT,True,Vespasian,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,Henry Reed,Drontheim,BO'NESS,—70 c,,,,1875,21,8,1875,False,"Henry Reed @ Drontheim,—70 c. deals, &c., Good.",MULTI_SPLIT,True,Henry Reed,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,Henry Reed,Drontheim,BO'NESS,—70 c,,,,1875,21,8,1875,False,"Henry Reed @ Drontheim,—70 c. deals, &c., Good.",MULTI_SPLIT,True,Henry Reed,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",24,Twende Brodre,Dram,DUNDEE,"—4,868 battens",J,,,1877,18,8,1877,False,"Twende Brodre @ Dram,—4,868 battens, J. S. Dunn & Co.",MULTI_SPLIT,True,Twende Brodre,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",26,Douglas,Helsingfors,DUNDEE,"—23,800 deals",&c,,,1877,21,7,1877,False,"Douglas @ Helsingfors,—23,800 deals, &c., Price, Potter, Walker, & Co.",MULTI_SPLIT,True,Douglas,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",31,Carmeneila,Cienfuegos,LIVERPOOL,"—26 logs sabica wood, 241 logs, 12 log ends mahogany",Sundry Consignees,,,1874,13,6,1874,False,"Carmeneila @ Cienfuegos,—26 logs sabica wood, 241 logs, 12 log ends mahogany, Sundry Consignees.",MULTI_SPLIT,True,Carmeneila,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",35,Vestalinden,Fredrikstad,BRISTOL,"—15,658 boards",Hardy Bros,,,1875,21,8,1875,False,"Vestalinden @ Fredrikstad,—15,658 boards, Hardy Bros.",MULTI_SPLIT,True,Vestalinden,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",36,Mary,Gothenburg,LONDON,—148 oars,Playford & Sheppard,,,1875,29,5,1875,True,"Mary (s) @ Gothenburg,—148 oars, Playford & Sheppard.",MULTI_SPLIT,True,Mary,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",11,Orlande,Gothenburg,BO'NESS,"—10,929 pit props",82 c,,,1875,21,8,1875,True,"Orlande (s) @ Gothenburg,—10,929 pit props, 82 c. deals, &c., Wilson.",MULTI_SPLIT,True,Orlande,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",12,Epaminondas,Quebec,GREENOCK,—672 pcs,,,,1874,22,8,1874,False,"Epaminondas @ Quebec,—672 pcs. square white pine, George Gillespie & Co.",MULTI_SPLIT,True,Epaminondas,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",13,Vif,Drammen,GREENOCK,—11,883 pcs,,,1874,22,8,1874,False,"Vif @ Drammen,—11,883 pcs. deals, James McLean and Co.",MULTI_SPLIT,True,Vif,1.0000,Similar to original_extracted_ship
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",14,Henry Reed,Drontheim,BO'NESS,—70 c,,,,1875,21,8,1875,False,"Henry Reed @ Drontheim,—70 c. deals, &c., Good.",MULTI_SPLIT,True,Henry Reed,1.0000,Similar to original_extracted_ship
